Accession	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
OGV33412.1	310	70	1798572	Lentisphaerae	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__GWF2-45-14	g__GWF2-45-14	s__GWF2-45-14 sp001804785	3776931
ODS77888.1	450	210	1660086	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Acidovorax	s__Acidovorax sp000302535	4318128
ONI40474.1	455	215	1712377	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Epulopiscium_A	s__Epulopiscium_A sp001983475	2161763
PQD96235.1	381	141	2064768	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Pradoshia	s__Pradoshia eiseniae	3821617
PLX68520.1	801	561	2053308	Deferribacteres	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Denitrovibrionaceae	g__Denitrovibrio	s__Denitrovibrio sp002869185	2781574
SUY52537.1	274	34	29370	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lacrimispora	s__Lacrimispora sphenoides_A	5931381
OOM75018.1	280	40	29367	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium puniceum	6082167
WP_104270133.1	518	278	262076	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter flavimaris	4462136
WP_021131738.1	412	172	1082	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Magnetospirillaceae	g__Phaeospirillum	s__Phaeospirillum fulvum_A	3805060
SKC32182.1	508	268	1378299	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium piscicola	4525300
SDF26200.1	281	41	1123362	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Thalassobaculales	f__Thalassobaculaceae	g__Thalassobaculum	s__Thalassobaculum litoreum	5363368
EAW30097.1	495	255	247633	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae_A	g__Oceanicoccus	s__Oceanicoccus sp000169075	3925629
REC58373.1	493	253	1940533	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodosalinus	s__Rhodosalinus sediminis	3156146
ABV02452.1	495	255	572480	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Arcobacter	s__Arcobacter nitrofigilis	3192235
WP_089110226.1	360	120	673372	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio casei	4140771
AMO49136.1	481	241	1692238	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia oryzendophytica	5138701
PIQ64312.1	487	247	1974125	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Zetaproteobacteria	o__Mariprofundales	f__Mariprofundaceae	g__UBA1543	s__UBA1543 sp002779605	2373354
WP_110325990.1	491	251	1096246	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella effluvii	6863335
WP_051205762.1	489	249	1280671	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000423945	4575583
WP_072975016.1	297	57	43131	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Tissierellaceae	g__Tissierella	s__Tissierella praeacuta	3187732
WP_094768476.1	418	178	1979526	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Bacillus_AB	s__Bacillus_AB infantis	5206123
ODV02649.1	238	-2	1660145	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__Thiobacillus	s__Thiobacillus sp001899305	2957592
KEO60153.1	275	35	1353528	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Thioclava	s__Thioclava indica	3822068
RDB36312.1	324	84	495820	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Silvanigrellales	f__Silvanigrellaceae	g__Silvanigrella	s__Silvanigrella cienkowskii	2739001
WP_041543253.1	272	32	511062	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Oceanimonas	s__Oceanimonas sp000243075	3527244
WP_067378485.1	511	271	1821621	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Nitrincolaceae	g__Marinobacterium_A	s__Marinobacterium_A aestuarii	5191608
CRD50949.1	389	149	40324	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas sp003086775	4300149
KPQ17963.1	508	268	1666917	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Roseicyclus	s__Roseicyclus sp001314805	3684589
WP_109346723.1	483	243	945844	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Massilia	s__Massilia oculi	5844653
WP_028714304.1	280	40	935849	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus sp000518925	4294957
WP_061580569.1	364	124	1422	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Geobacillus	s__Geobacillus stearothermophilus	2931459
SKA95643.1	274	34	759851	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina newyorkensis	3602225
OON63940.1	553	313	1955422	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Massilia	s__Massilia sp002007115	5734887
WP_031236478.1	282	42	1282360	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis sp000495795	5406637
WP_110728406.1	588	348	2183981	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pararhizobium	s__Pararhizobium sp003217095	5527914
EOT39974.1	271	31	1121865	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E columbae	2506728
WP_011643899.1	275	35	74318	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Maricaulaceae	g__Maricaulis	s__Maricaulis maris	3568848
WP_114098476.1	452	212	502049	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Thalassospiraceae	g__Thalassospira	s__Thalassospira povalilytica	4493406
SDD80283.1	273	33	637679	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Kordiimonadaceae	g__Kordiimonas	s__Kordiimonas lacus	4025086
WP_028057396.1	285	45	1298857	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Solirubrobacter	s__Solirubrobacter sp000425945	6640086
EDT75324.1	276	36	447214	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4540699
OZB73834.1	295	55	1970378	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Halothiobacillales	f__Halothiobacillaceae	g__Halothiobacillus	s__Halothiobacillus sp002282715	2209978
WP_091456910.1	517	277	180197	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Giesbergeria	s__Giesbergeria anulus	3420562
WP_074710676.1	387	147	916	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas eutropha	2418608
RAR76863.1	294	54	78229	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Acidovorax_A	s__Acidovorax_A anthurii	5469042
WP_078110370.1	285	45	38875	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Heyndrickxia	s__Heyndrickxia oleronia	5083966
SEI86977.1	739	499	64971	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Pseudospirillum	s__Pseudospirillum japonicum	2744234
WP_075610616.1	275	35	1858656	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Alteromonas_C	s__Alteromonas_C pelagimontana	4314189
WP_045294705.1	366	126	412384	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	3959600
PZP35684.1	296	56	76731	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Roseateles	s__Roseateles depolymerans	5656781
WP_004277120.1	249	9	28080	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D upsaliensis	1649151
WP_045849654.1	320	80	1017273	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Domibacillaceae	g__Domibacillus	s__Domibacillus enclensis	3835730
EAS51582.1	343	103	287752	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aurantimonas	s__Aurantimonas manganoxydans	4248252
SFQ20275.1	645	405	1520827	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__XBB1006	s__XBB1006 sp900115795	2721984
WP_045810207.1	292	52	1628191	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas sp005484585	3099203
WP_100132316.1	708	468	1100707	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans	s__Limnohabitans sp002778325	3399993
WP_018994215.1	426	186	748655	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Ectothiorhodospirales	f__Thioalkalivibrionaceae	g__Thioalkalivibrio	s__Thioalkalivibrio sp000378305	2748836
OUS11530.1	624	384	1856295	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Porticoccaceae	g__50-400-T64	s__50-400-T64 sp002162815	2949125
WP_104150402.1	382	142	1465	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Brevibacillales	f__Brevibacillaceae	g__Brevibacillus_B	s__Brevibacillus_B laterosporus	5172740
OCP58390.1	281	41	670	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio parahaemolyticus	6099228
ORN01943.1	408	168	472695	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea septica	2462654
OJH44880.1	282	42	1520813	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus sediminilitoris	3905170
OJY76341.1	285	45	1895826	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__70-18	s__70-18 sp001899585	5052204
WP_026491783.1	479	239	1280665	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp000423945	4442963
SFD14693.1	278	38	517719	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudooceanicola	s__Pseudooceanicola nitratireducens	4068972
WP_035762223.1	276	36	1492	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium butyricum	4597202
WP_076694138.1	278	38	1250539	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Salipiger	s__Salipiger abyssi	5259072
WP_109339242.1	331	91	2183582	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Saliniradius	s__Saliniradius amylolyticus	3214946
WP_007778065.1	271	31	1144311	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Brevibacillales	f__Brevibacillaceae	g__Brevibacillus	s__Brevibacillus agri	5271824
WP_056144845.1	346	106	1736241	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium sp000376345	5143223
EHP29576.1	279	39	929558	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonas gotlandica	2946312
ACK49017.1	292	52	395965	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylocella	s__Methylocella silvestris	4305430
DAA87988.1	625	385	1916218	Candidatus Melainabacteria	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	2277225
PVX70041.1	272	32	2135485	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp003096895	4528757
PSR23021.1	596	356	53633	Firmicutes	d__Bacteria	p__Firmicutes_E	c__Sulfobacillia	o__Sulfobacillales	f__Sulfobacillaceae	g__Sulfobacillus_B	s__Sulfobacillus_B acidophilus_A	3675767
PHS56700.1	274	34	2022749	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonas sp002899765	2391647
WP_113731265.1	577	337	1345498	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium pusense	5484551
WP_109610510.1	424	184	636	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edwardsiella	s__Edwardsiella tarda	3640939
WP_067031121.1	294	54	1806667	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Marinomonadaceae	g__Marinomonas	s__Marinomonas gallaica	3826043
AOT71939.1	273	33	1424294	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Thermotaleaceae	g__Geosporobacter	s__Geosporobacter ferrireducens	5625643
WP_016092916.1	270	30	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
WP_084577928.1	597	357	112901	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa malonica	5191417
WP_068024403.1	274	34	674703	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__Z2-YC6860 sp001579845	8193889
WP_105909005.1	281	41	28198	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__Aliarcobacter cryaerophilus_A	2136856
OCJ17685.1	296	56	1841654	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp900489925	6102734
WP_023452445.1	274	34	1282360	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis sp000495795	5406637
PWJ52603.1	429	189	317664	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Quadrisphaeraceae	g__Quadrisphaera	s__Quadrisphaera granulorum	4884413
OGM03354.1	479	239	1817813	Candidatus Wallbacteria	d__Bacteria	p__Wallbacteria	c__UBA9980	o__UBA9980	f__UBA9980	g__UBA9980	s__UBA9980 sp001791795	3669112
SFH41079.1	548	308	1855376	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella tayi	7259544
AJF07548.1	276	36	483547	Proteobacteria	d__Bacteria	p__Desulfobacterota_F	c__Desulfuromonadia	o__Desulfuromonadales	f__Geoalkalibacteraceae	g__Geoalkalibacter_A	s__Geoalkalibacter_A subterraneus	3717645
WP_078180553.1	289	49	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
WP_086509971.1	366	126	52021	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas desiderata	4886954
KHD86421.1	270	30	363870	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Weizmannia	s__Weizmannia ginsengihumi	3721822
WP_044177304.1	481	241	1485952	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Phytobacter	s__Phytobacter massiliensis	5003540
WP_022982825.1	281	41	137716	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ideonella	s__Ideonella sp000333615	4936752
WP_076697258.1	290	50	1897634	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Tersicoccus	s__Tersicoccus sp001968825	3479503
WP_043131923.1	510	270	651	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas media	4484338
AMK12585.1	286	46	1716143	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Pseudodesulfovibrio	s__Pseudodesulfovibrio indicus	3958645
KXI27924.1	267	27	1799789	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Paraglaciecola	s__Paraglaciecola hydrolytica	5221450
CDX03139.1	394	154	49338	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium hafniense	5666696
KGP73567.1	379	139	1385514	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Halobacillaceae	g__Pontibacillus	s__Pontibacillus yanchengensis	4281464
OAA83187.1	499	259	1538	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ljungdahlii_A	4363917
ELX11141.1	493	253	1198452	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Duganella	s__Duganella sp000335815	7114674
OMD74617.1	276	36	189426	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus odorifer	6955142
PZQ24207.1	276	36	33050	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis macrogoltabida_B	5098553
OBV40937.1	388	148	1747903	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Janthinobacterium	s__Janthinobacterium psychrotolerans	5844062
RAY43800.1	439	199	208224	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter kobei	5088034
ABJ98818.1	327	87	90371	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4781509
WP_071626957.1	282	42	1904463	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Poseidonibacter	s__Poseidonibacter lekithochrous	3607848
SEO89307.1	444	204	112903	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Propionisporales	f__Propionisporaceae	g__Propionispora	s__Propionispora vibrioides	4433598
WP_090322303.1	532	292	1881038	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Duganella	s__Duganella sp900110275	7061117
WP_068371859.1	356	116	206506	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Kerstersia	s__Kerstersia gyiorum	3982678
WP_069588805.1	318	78	1525	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Moorellia	o__Moorellales	f__Moorellaceae	g__Moorella	s__Moorella thermoacetica	2623349
PYG03853.1	402	162	1158175	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Ectothiorhodospirales	f__Thioalkalivibrionaceae	g__Thioalkalivibrio	s__Thioalkalivibrio halophilus	2801154
OYX28951.1	279	39	1970503	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__NCED01	s__NCED01 sp002280485	2839063
PWI34425.1	377	137	2200953	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sp003144035	4265296
SDH74334.1	304	64	311180	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Salipiger	s__Salipiger pacificus_A	5165968
WP_090019322.1	429	189	1082479	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Kiloniellales	f__Rhodovibrionaceae	g__Limimonas	s__Limimonas halophila	3039361
WP_089759423.1	516	276	321763	Firmicutes	d__Bacteria	p__Firmicutes_F	c__Halanaerobiia	o__Halanaerobiales	f__Halarsenatibacteraceae	g__Halarsenatibacter	s__Halarsenatibacter silvermanii	2718640
PSU82760.1	485	245	659	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium phosphoreum	4882271
SHJ66575.1	253	13	1121301	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Caminicellaceae	g__Paramaledivibacter	s__Paramaledivibacter caminithermalis	4060624
PYG22839.1	624	384	1851514	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Scandinavium	s__Scandinavium goeteborgense	4713964
WP_100800414.1	385	145	1971595	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sp002812955	3757667
SFL51553.1	317	77	52561	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfomicrobiaceae	g__Desulfomicrobium	s__Desulfomicrobium norvegicum	4352996
SFO87810.1	510	270	289003	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E borbori	5270473
SIR17966.1	280	40	706570	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_H	s__Pseudomonas_H flexibilis	3762694
OII08010.1	285	45	1898734	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium flaccumfaciens	3772244
AKG54236.1	194	-46	943347	Chloroflexi	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalogenimonas	s__Dehalogenimonas sp001005265	1725728
KRG75180.1	522	282	517011	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas chelatiphaga	3967734
WP_100912913.1	335	95	298657	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas spongiae	4856727
SET96481.1	281	41	1333667	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Geodermatophilaceae	g__Geodermatophilus	s__Geodermatophilus poikilotrophus	4828156
WP_033543955.1	538	298	1541197	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus sp000775575	3310887
SDG47003.1	312	72	218672	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sulfitobacter	s__Sulfitobacter delicatus	3936078
